UNIT,YEAR,SEX,RACE,AGE,ESTIMATE
"Deaths per 100,000 resident population, crude",1950,Male,White,15-24 years,6.6
"Deaths per 100,000 resident population, crude",1960,Male,White,15-24 years,8.6
"Deaths per 100,000 resident population, crude",1970,Male,White,15-24 years,13.9
"Deaths per 100,000 resident population, crude",1980,Male,White,15-24 years,21.4
"Deaths per 100,000 resident population, crude",1981,Male,White,15-24 years,21.1
"Deaths per 100,000 resident population, crude",1982,Male,White,15-24 years,21.2
"Deaths per 100,000 resident population, crude",1983,Male,White,15-24 years,20.4
"Deaths per 100,000 resident population, crude",1984,Male,White,15-24 years,21.8
"Deaths per 100,000 resident population, crude",1985,Male,White,15-24 years,22.3
"Deaths per 100,000 resident population, crude",1986,Male,White,15-24 years,23.1
"Deaths per 100,000 resident population, crude",1987,Male,White,15-24 years,22.2
"Deaths per 100,000 resident population, crude",1988,Male,White,15-24 years,22.7
"Deaths per 100,000 resident population, crude",1989,Male,White,15-24 years,22.5
"Deaths per 100,000 resident population, crude",1990,Male,White,15-24 years,23.2
"Deaths per 100,000 resident population, crude",1991,Male,White,15-24 years,23
"Deaths per 100,000 resident population, crude",1992,Male,White,15-24 years,22.6
"Deaths per 100,000 resident population, crude",1993,Male,White,15-24 years,22.9
"Deaths per 100,000 resident population, crude",1994,Male,White,15-24 years,23.7
"Deaths per 100,000 resident population, crude",1995,Male,White,15-24 years,23.1
"Deaths per 100,000 resident population, crude",1996,Male,White,15-24 years,20.7
"Deaths per 100,000 resident population, crude",1997,Male,White,15-24 years,19.3
"Deaths per 100,000 resident population, crude",1998,Male,White,15-24 years,18.9
"Deaths per 100,000 resident population, crude",1999,Male,White,15-24 years,17.5
"Deaths per 100,000 resident population, crude",2000,Male,White,15-24 years,17.9
"Deaths per 100,000 resident population, crude",2001,Male,White,15-24 years,17.5
"Deaths per 100,000 resident population, crude",2002,Male,White,15-24 years,17.7
"Deaths per 100,000 resident population, crude",2003,Male,White,15-24 years,17
"Deaths per 100,000 resident population, crude",2004,Male,White,15-24 years,17.9
"Deaths per 100,000 resident population, crude",2005,Male,White,15-24 years,17.3
"Deaths per 100,000 resident population, crude",2006,Male,White,15-24 years,17.2
"Deaths per 100,000 resident population, crude",2007,Male,White,15-24 years,16.9
"Deaths per 100,000 resident population, crude",2008,Male,White,15-24 years,17.2
"Deaths per 100,000 resident population, crude",2009,Male,White,15-24 years,17.6
"Deaths per 100,000 resident population, crude",2010,Male,White,15-24 years,18.3
"Deaths per 100,000 resident population, crude",2011,Male,White,15-24 years,19.3
"Deaths per 100,000 resident population, crude",2012,Male,White,15-24 years,19
"Deaths per 100,000 resident population, crude",2013,Male,White,15-24 years,18.7
"Deaths per 100,000 resident population, crude",2014,Male,White,15-24 years,19.9
"Deaths per 100,000 resident population, crude",2015,Male,White,15-24 years,20.9
"Deaths per 100,000 resident population, crude",2016,Male,White,15-24 years,21.9
"Deaths per 100,000 resident population, crude",2017,Male,White,15-24 years,24.4
"Deaths per 100,000 resident population, crude",2018,Male,White,15-24 years,24.4
"Deaths per 100,000 resident population, crude",1950,Male,White,25-44 years,17.9
"Deaths per 100,000 resident population, crude",1960,Male,White,25-44 years,18.5
"Deaths per 100,000 resident population, crude",1970,Male,White,25-44 years,21.5
"Deaths per 100,000 resident population, crude",1980,Male,White,25-44 years,24.6
"Deaths per 100,000 resident population, crude",1981,Male,White,25-44 years,25.4
"Deaths per 100,000 resident population, crude",1982,Male,White,25-44 years,25.1
"Deaths per 100,000 resident population, crude",1983,Male,White,25-44 years,25
"Deaths per 100,000 resident population, crude",1984,Male,White,25-44 years,25.1
"Deaths per 100,000 resident population, crude",1985,Male,White,25-44 years,24.8
"Deaths per 100,000 resident population, crude",1986,Male,White,25-44 years,25.6
"Deaths per 100,000 resident population, crude",1987,Male,White,25-44 years,25.2
"Deaths per 100,000 resident population, crude",1988,Male,White,25-44 years,25.3
"Deaths per 100,000 resident population, crude",1989,Male,White,25-44 years,24.8
"Deaths per 100,000 resident population, crude",1990,Male,White,25-44 years,25.4
"Deaths per 100,000 resident population, crude",1991,Male,White,25-44 years,25.3
"Deaths per 100,000 resident population, crude",1992,Male,White,25-44 years,24.9
"Deaths per 100,000 resident population, crude",1993,Male,White,25-44 years,25.4
"Deaths per 100,000 resident population, crude",1994,Male,White,25-44 years,25.7
"Deaths per 100,000 resident population, crude",1995,Male,White,25-44 years,25.8
"Deaths per 100,000 resident population, crude",1996,Male,White,25-44 years,25.3
"Deaths per 100,000 resident population, crude",1997,Male,White,25-44 years,24.7
"Deaths per 100,000 resident population, crude",1998,Male,White,25-44 years,24.4
"Deaths per 100,000 resident population, crude",1999,Male,White,25-44 years,23.2
"Deaths per 100,000 resident population, crude",2000,Male,White,25-44 years,22.9
"Deaths per 100,000 resident population, crude",2001,Male,White,25-44 years,24.1
"Deaths per 100,000 resident population, crude",2002,Male,White,25-44 years,24.4
"Deaths per 100,000 resident population, crude",2003,Male,White,25-44 years,24.3
"Deaths per 100,000 resident population, crude",2004,Male,White,25-44 years,24.3
"Deaths per 100,000 resident population, crude",2005,Male,White,25-44 years,24.2
"Deaths per 100,000 resident population, crude",2006,Male,White,25-44 years,24.2
"Deaths per 100,000 resident population, crude",2007,Male,White,25-44 years,25.3
"Deaths per 100,000 resident population, crude",2008,Male,White,25-44 years,25.4
"Deaths per 100,000 resident population, crude",2009,Male,White,25-44 years,25.7
"Deaths per 100,000 resident population, crude",2010,Male,White,25-44 years,26.2
"Deaths per 100,000 resident population, crude",2011,Male,White,25-44 years,26.8
"Deaths per 100,000 resident population, crude",2012,Male,White,25-44 years,27.2
"Deaths per 100,000 resident population, crude",2013,Male,White,25-44 years,26.8
"Deaths per 100,000 resident population, crude",2014,Male,White,25-44 years,27.5
"Deaths per 100,000 resident population, crude",2015,Male,White,25-44 years,28.6
"Deaths per 100,000 resident population, crude",2016,Male,White,25-44 years,29.2
"Deaths per 100,000 resident population, crude",2017,Male,White,25-44 years,31
"Deaths per 100,000 resident population, crude",2018,Male,White,25-44 years,30.9
"Deaths per 100,000 resident population, crude",1950,Male,White,45-64 years,39.3
"Deaths per 100,000 resident population, crude",1960,Male,White,45-64 years,36.5
"Deaths per 100,000 resident population, crude",1970,Male,White,45-64 years,31.9
"Deaths per 100,000 resident population, crude",1980,Male,White,45-64 years,25
"Deaths per 100,000 resident population, crude",1981,Male,White,45-64 years,25.1
"Deaths per 100,000 resident population, crude",1982,Male,White,45-64 years,26.8
"Deaths per 100,000 resident population, crude",1983,Male,White,45-64 years,26.5
"Deaths per 100,000 resident population, crude",1984,Male,White,45-64 years,27.2
"Deaths per 100,000 resident population, crude",1985,Male,White,45-64 years,27
"Deaths per 100,000 resident population, crude",1986,Male,White,45-64 years,27.6
"Deaths per 100,000 resident population, crude",1987,Male,White,45-64 years,27.2
"Deaths per 100,000 resident population, crude",1988,Male,White,45-64 years,25.2
"Deaths per 100,000 resident population, crude",1989,Male,White,45-64 years,25.5
"Deaths per 100,000 resident population, crude",1990,Male,White,45-64 years,26
"Deaths per 100,000 resident population, crude",1991,Male,White,45-64 years,25.9
"Deaths per 100,000 resident population, crude",1992,Male,White,45-64 years,24.8
"Deaths per 100,000 resident population, crude",1993,Male,White,45-64 years,24.5
"Deaths per 100,000 resident population, crude",1994,Male,White,45-64 years,23.7
"Deaths per 100,000 resident population, crude",1995,Male,White,45-64 years,23.9
"Deaths per 100,000 resident population, crude",1996,Male,White,45-64 years,24.6
"Deaths per 100,000 resident population, crude",1997,Male,White,45-64 years,23.9
"Deaths per 100,000 resident population, crude",1998,Male,White,45-64 years,23.8
"Deaths per 100,000 resident population, crude",1999,Male,White,45-64 years,22.6
"Deaths per 100,000 resident population, crude",2000,Male,White,45-64 years,23.2
"Deaths per 100,000 resident population, crude",2001,Male,White,45-64 years,24.8
"Deaths per 100,000 resident population, crude",2002,Male,White,45-64 years,26
"Deaths per 100,000 resident population, crude",2003,Male,White,45-64 years,26.1
"Deaths per 100,000 resident population, crude",2004,Male,White,45-64 years,26.1
"Deaths per 100,000 resident population, crude",2005,Male,White,45-64 years,26.6
"Deaths per 100,000 resident population, crude",2006,Male,White,45-64 years,27.5
"Deaths per 100,000 resident population, crude",2007,Male,White,45-64 years,28.8
"Deaths per 100,000 resident population, crude",2008,Male,White,45-64 years,30.8
"Deaths per 100,000 resident population, crude",2009,Male,White,45-64 years,31.4
"Deaths per 100,000 resident population, crude",2010,Male,White,45-64 years,33
"Deaths per 100,000 resident population, crude",2011,Male,White,45-64 years,32.8
"Deaths per 100,000 resident population, crude",2012,Male,White,45-64 years,33.5
"Deaths per 100,000 resident population, crude",2013,Male,White,45-64 years,33
"Deaths per 100,000 resident population, crude",2014,Male,White,45-64 years,34
"Deaths per 100,000 resident population, crude",2015,Male,White,45-64 years,33.8
"Deaths per 100,000 resident population, crude",2016,Male,White,45-64 years,33.2
"Deaths per 100,000 resident population, crude",2017,Male,White,45-64 years,34.5
"Deaths per 100,000 resident population, crude",2018,Male,White,45-64 years,35.5
"Deaths per 100,000 resident population, crude",1950,Male,White,65 years and over,55.8
"Deaths per 100,000 resident population, crude",1960,Male,White,65 years and over,46.7
"Deaths per 100,000 resident population, crude",1970,Male,White,65 years and over,41.1
"Deaths per 100,000 resident population, crude",1980,Male,White,65 years and over,37.2
"Deaths per 100,000 resident population, crude",1981,Male,White,65 years and over,35.7
"Deaths per 100,000 resident population, crude",1982,Male,White,65 years and over,38.9
"Deaths per 100,000 resident population, crude",1983,Male,White,65 years and over,40.5
"Deaths per 100,000 resident population, crude",1984,Male,White,65 years and over,41.9
"Deaths per 100,000 resident population, crude",1985,Male,White,65 years and over,43.7
"Deaths per 100,000 resident population, crude",1986,Male,White,65 years and over,46.1
"Deaths per 100,000 resident population, crude",1987,Male,White,65 years and over,46.7
"Deaths per 100,000 resident population, crude",1988,Male,White,65 years and over,45.7
"Deaths per 100,000 resident population, crude",1989,Male,White,65 years and over,44.3
"Deaths per 100,000 resident population, crude",1990,Male,White,65 years and over,44.2
"Deaths per 100,000 resident population, crude",1991,Male,White,65 years and over,42.6
"Deaths per 100,000 resident population, crude",1992,Male,White,65 years and over,40.9
"Deaths per 100,000 resident population, crude",1993,Male,White,65 years and over,40.7
"Deaths per 100,000 resident population, crude",1994,Male,White,65 years and over,38.8
"Deaths per 100,000 resident population, crude",1995,Male,White,65 years and over,38.5
"Deaths per 100,000 resident population, crude",1996,Male,White,65 years and over,37.6
"Deaths per 100,000 resident population, crude",1997,Male,White,65 years and over,35.9
"Deaths per 100,000 resident population, crude",1998,Male,White,65 years and over,36.5
"Deaths per 100,000 resident population, crude",1999,Male,White,65 years and over,34.4
"Deaths per 100,000 resident population, crude",2000,Male,White,65 years and over,33.3
"Deaths per 100,000 resident population, crude",2001,Male,White,65 years and over,33.6
"Deaths per 100,000 resident population, crude",2002,Male,White,65 years and over,34.2
"Deaths per 100,000 resident population, crude",2003,Male,White,65 years and over,32.1
"Deaths per 100,000 resident population, crude",2004,Male,White,65 years and over,31.1
"Deaths per 100,000 resident population, crude",2005,Male,White,65 years and over,32
"Deaths per 100,000 resident population, crude",2006,Male,White,65 years and over,30.8
"Deaths per 100,000 resident population, crude",2007,Male,White,65 years and over,30.9
